id;task_name;task_description;requires_periodic_followup;initial_deadline;updated_deadline;done_date;verified_date
1;Via collaborative Manager;intranet Hat Computer;true;2021-06-23;2021-06-23;2021-06-23;2021-06-23
2;Electronics;Tokelau Rwanda Markets;false;2021-06-23;2021-06-23;2021-06-23;2021-06-23
3;bypass;Hong portals Garden;true;2021-06-23;2021-06-22;2021-06-23;2021-06-22
4;Fresh programming Sharable;hacking;true;2021-06-23;2021-06-23;2021-06-23;2021-06-23
5;Harbors magenta Usability;Director copy Strategist;false;2021-06-23;2021-06-23;2021-06-23;2021-06-23
6;task-force wireless;Buckinghamshire Hat monetize;true;2021-06-23;2021-06-23;2021-06-22;2021-06-23
7;transmitter Licensed Towels;Mississippi Loan out-of-the-box;true;2021-06-23;2021-06-23;2021-06-23;2021-06-23
8;Sleek Forks;red;false;2021-06-23;2021-06-23;2021-06-23;2021-06-23
9;Soap Iraq;Practical;true;2021-06-23;2021-06-23;2021-06-23;2021-06-22
10;bluetooth;Frozen Jersey Loan;true;2021-06-23;2021-06-22;2021-06-23;2021-06-23
